split,path,psnr,ssim,niqe,brisque,time_s
synth,0000\demoire.png,11.087244033813477,0.33682020002512636,,,2.4044444000028307
synth,0002\demoire.png,18.01801109313965,0.8419136517923395,,,2.0018066999909934
synth,0003\demoire.png,15.86382007598877,0.7418128785929551,,,2.107722400003695
synth,0005\demoire.png,16.98567008972168,0.4708494826146568,,,1.8770956000080332
synth,0010\demoire.png,22.452556610107422,0.925235270133387,,,1.9236581000004662
synth,0021\demoire.png,18.184398651123047,0.60553464587197,,,1.800738400008413
synth,0023\demoire.png,18.51919937133789,0.526893737668978,,,1.7526570000045467
synth,0025\demoire.png,19.71967124938965,0.7285354368221,,,1.7077116000000387
synth,0027\demoire.png,19.283559799194336,0.7802069871462889,,,1.737332900011097
synth,0028\demoire.png,19.12294578552246,0.6294025387597533,,,1.7232730999967316
synth,0029\demoire.png,19.944746017456055,0.851893335933719,,,1.804036499990616
synth,0034\demoire.png,18.96442413330078,0.7063535276428824,,,1.7870239000039874
synth,0037\demoire.png,18.452430725097656,0.8920305726404015,,,1.7896632999909343
synth,0039\demoire.png,16.27115249633789,0.5666546199169205,,,1.7631116999982623
synth,0049\demoire.png,12.036949157714844,0.6249489997510832,,,1.712124199984828
synth,0050\demoire.png,9.682151794433594,0.5948662148559584,,,1.7114059000159614
synth,0052\demoire.png,15.51904296875,0.6355864791673045,,,1.8081047000014223
synth,0053\demoire.png,19.030384063720703,0.6789783614345511,,,1.7655125000019325
synth,0059\demoire.png,13.176826477050781,0.7323656956803626,,,1.8206570000038482
synth,0061\demoire.png,21.009765625,0.8376636360924689,,,1.9583970000094268
synth,0071\demoire.png,17.898847579956055,0.8975174278582807,,,1.990214500008733
synth,0075\demoire.png,22.973876953125,0.8930743790404388,,,2.0779076000035275
synth,0079\demoire.png,15.841593742370605,0.552578075310217,,,2.00644199999806
synth,0084\demoire.png,17.51508903503418,0.5675782953510207,,,1.9174237999977777
synth,0087\demoire.png,18.287193298339844,0.8701465204636006,,,1.9024563999992097
synth,0093\demoire.png,16.079830169677734,0.8279220292731204,,,1.9207900000037625
synth,0097\demoire.png,17.755264282226562,0.8195470010785341,,,1.9006872000027215
synth,0098\demoire.png,21.8382568359375,0.9425666558905039,,,1.784124999991036
synth,0106\demoire.png,19.5314998626709,0.8054332296457491,,,1.937274800002342
synth,0109\demoire.png,16.624967575073242,0.6232280018736185,,,1.757655599998543
real,real1\demoire.png,,,10.096847405345319,182.39227294921875,1.4077821000100812
